date,name,value
2001-01-31,q_17012,646.9999999999999
2001-01-31,q_17084,202.4431932486144
2001-01-31,q_16924,76.00000000000009
2001-01-31,q_17461,58.1
2001-01-31,q_16936,173.0000000000008
2001-01-31,q_16938,63.16172605152354
2001-02-28,q_17012,665.0000000000001
2001-02-28,q_17084,186.27422312326263
2001-02-28,q_16924,71.00000000000007
2001-02-28,q_17461,56.00000000000001
2001-02-28,q_16936,169.0000000000008
2001-02-28,q_16938,66.16315264226813
2001-03-31,q_17012,753.0000000000001
2001-03-31,q_17084,222.65144898582767
2001-03-31,q_16924,114.00000000000011
2001-03-31,q_17461,54.800000000000026
2001-03-31,q_16936,202.00000000000085
2001-03-31,q_16938,54.168812216272734
2001-04-30,q_17012,781.0000000000001
2001-04-30,q_17084,420.89953138870965
2001-04-30,q_16924,261.00000000000017
2001-04-30,q_17461,59.60000000000002
2001-04-30,q_16936,329.00000000000136
2001-04-30,q_16938,98.27503130733936
2001-05-31,q_17012,1502
2001-05-31,q_17084,838.8145540929555
2001-05-31,q_16924,481.00000000000034
2001-05-31,q_17461,150
2001-05-31,q_16936,761.0000000000036
2001-05-31,q_16938,232.91624375887957
2001-06-30,q_17012,3193.0000000000005
2001-06-30,q_17084,1452.804464401112
2001-06-30,q_16924,521.0000000000007
2001-06-30,q_17461,275.9999999999998
2001-06-30,q_16936,866.0000000000035
2001-06-30,q_16938,280.78586858092774
2001-07-31,q_17012,3087.0000000000014
2001-07-31,q_17084,1593.805585695561
2001-07-31,q_16924,288.0000000000003
2001-07-31,q_17461,254.99999999999972
2001-07-31,q_16936,645.0000000000028
2001-07-31,q_16938,103.30614978117966
2001-08-31,q_17012,2387.000000000001
2001-08-31,q_17084,1197.600634023603
2001-08-31,q_16924,191.00000000000017
2001-08-31,q_17461,174.99999999999991
2001-08-31,q_16936,565.0000000000026
2001-08-31,q_16938,74.17533824035951
2001-09-30,q_17012,1289
2001-09-30,q_17084,517.773459067509
2001-09-30,q_16924,133.00000000000009
2001-09-30,q_17461,103.99999999999997
2001-09-30,q_16936,377.00000000000176
2001-09-30,q_16938,61.16178887922668
2001-10-31,q_17012,536.0000000000001
2001-10-31,q_17084,325.3349465995311
2001-10-31,q_16924,117.00000000000014
2001-10-31,q_17461,68.79999999999998
2001-10-31,q_16936,291.0000000000013
2001-10-31,q_16938,67.16402180538306
2001-11-30,q_17012,415.99999999999966
2001-11-30,q_17084,258.34550838961746
2001-11-30,q_16924,114.00000000000011
2001-11-30,q_17461,59.800000000000004
2001-11-30,q_16936,243.00000000000117
2001-11-30,q_16938,107.33333730777386
2001-12-31,q_17012,539.0000000000002
2001-12-31,q_17084,211.8741046716855
2001-12-31,q_16924,85.00000000000004
2001-12-31,q_17461,53.800000000000004
2001-12-31,q_16936,199.00000000000082
2001-12-31,q_16938,75.17767241055498
2002-01-31,q_17012,562.0000000000001
2002-01-31,q_17084,172.12449473224154
2002-01-31,q_16924,79.00000000000004
2002-01-31,q_17461,37.100000000000016
2002-01-31,q_16936,190.00000000000085
2002-01-31,q_16938,68.1650830695325
2002-02-28,q_17012,567.0000000000001
2002-02-28,q_17084,166.05975153808268
2002-02-28,q_16924,72.00000000000006
2002-02-28,q_17461,45.90000000000002
2002-02-28,q_16936,178.0000000000008
2002-02-28,q_16938,59.162692388834
2002-03-31,q_17012,811
2002-03-31,q_17084,257.3354159222629
2002-03-31,q_16924,121.00000000000013
2002-03-31,q_17461,58.20000000000003
2002-03-31,q_16936,201.00000000000097
2002-03-31,q_16938,59.162692388834
2002-04-30,q_17012,1640.0000000000005
2002-04-30,q_17084,544.6773376143501
2002-04-30,q_16924,400.0000000000004
2002-04-30,q_17461,107.00000000000003
2002-04-30,q_16936,491.00000000000205
2002-04-30,q_16938,369.66642736784826
2002-05-31,q_17012,2740.0000000000005
2002-05-31,q_17084,973.5521632451062
2002-05-31,q_16924,443.0000000000004
2002-05-31,q_17461,178
2002-05-31,q_16936,714.0000000000031
2002-05-31,q_16938,414.7288671456967
2002-06-30,q_17012,4372.999999999998
2002-06-30,q_17084,1587.0917266589754
2002-06-30,q_16924,679.0000000000003
2002-06-30,q_17461,423.9999999999998
2002-06-30,q_16936,1577.0000000000066
2002-06-30,q_16938,487.57562353304326
2002-07-31,q_17012,4616.999999999998
2002-07-31,q_17084,1815.3379473139357
2002-07-31,q_16924,609.0000000000013
2002-07-31,q_17461,494.9999999999998
2002-07-31,q_16936,1160.0000000000045
2002-07-31,q_16938,252.25370684898616
2002-08-31,q_17012,3983.0000000000005
2002-08-31,q_17084,1560.2358215468857
2002-08-31,q_16924,356.00000000000017
2002-08-31,q_17461,383.99999999999983
2002-08-31,q_16936,811.0000000000036
2002-08-31,q_16938,109.34766966187988
2002-09-30,q_17012,2432.999999999999
2002-09-30,q_17084,735.3013816913189
2002-09-30,q_16924,188.0000000000002
2002-09-30,q_17461,200
2002-09-30,q_16936,396.0000000000019
2002-09-30,q_16938,59.162692388834
2002-10-31,q_17012,1253.0000000000005
2002-10-31,q_17084,411.4794018374326
2002-10-31,q_16924,140.00000000000014
2002-10-31,q_17461,114.99999999999999
2002-10-31,q_16936,325.0000000000015
2002-10-31,q_16938,42.20872048792515
2002-11-30,q_17012,840.0000000000002
2002-11-30,q_17084,247.23412958780682
2002-11-30,q_16924,107.00000000000011
2002-11-30,q_17461,99.40000000000005
2002-11-30,q_16936,255.00000000000108
2002-11-30,q_16938,41.21385137503525
2002-12-31,q_17012,737.9999999999998
2002-12-31,q_17084,211.53729842776852
2002-12-31,q_16924,90.00000000000006
2002-12-31,q_17461,60.50000000000002
2002-12-31,q_16936,228.00000000000108
2002-12-31,q_16938,58.16346783053169
2003-01-31,q_17012,670.0000000000001
2003-01-31,q_17084,192.6747045624391
2003-01-31,q_16924,79.00000000000004
2003-01-31,q_17461,50.60000000000004
2003-01-31,q_16936,198.00000000000085
2003-01-31,q_16938,54.168812216272734
2003-02-28,q_17012,686.9999999999999
2003-02-28,q_17084,175.49364467541213
2003-02-28,q_16924,72.00000000000006
2003-02-28,q_17461,51.10000000000004
2003-02-28,q_16936,195.0000000000008
2003-02-28,q_16938,51.17528595714595
2003-03-31,q_17012,1011.9999999999999
2003-03-31,q_17084,205.47463451088257
2003-03-31,q_16924,98.00000000000007
2003-03-31,q_17461,66.79999999999997
2003-03-31,q_16936,203.00000000000085
2003-03-31,q_16938,53.17072838472406
2003-04-30,q_17012,2440.0000000000005
2003-04-30,q_17084,483.4676665898307
2003-04-30,q_16924,304.00000000000034
2003-04-30,q_17461,98.30000000000001
2003-04-30,q_16936,325.0000000000015
2003-04-30,q_16938,353.29739439341216
2003-05-31,q_17012,3106.9999999999977
2003-05-31,q_17084,743.70427545642
2003-05-31,q_16924,490.00000000000034
2003-05-31,q_17461,128.99999999999997
2003-05-31,q_16936,748.0000000000032
2003-05-31,q_16938,408.5800653205343
2003-06-30,q_17012,5166.999999999996
2003-06-30,q_17084,1225.1397807902229
2003-06-30,q_16924,729.0000000000007
2003-06-30,q_17461,356.9999999999997
2003-06-30,q_16936,1303.0000000000061
2003-06-30,q_16938,498.8750301853478
2003-07-31,q_17012,5230.000000000004
2003-07-31,q_17084,1677.7249621494886
2003-07-31,q_16924,505.00000000000057
2003-07-31,q_17461,475.9999999999997
2003-07-31,q_16936,1163.0000000000048
2003-07-31,q_16938,277.7269734910158
2003-08-31,q_17012,3199.9999999999986
2003-08-31,q_17084,1112.9615105039047
2003-08-31,q_16924,247.00000000000028
2003-08-31,q_17461,283.99999999999983
2003-08-31,q_16936,725.384947735778
2003-08-31,q_16938,97.26920208246334
2003-09-30,q_17012,1786.9999999999993
2003-09-30,q_17084,720.5119043418242
2003-09-30,q_16924,156.00000000000009
2003-09-30,q_17461,168
2003-09-30,q_16936,525.29478188306
2003-09-30,q_16938,65.16247836772295
2003-10-31,q_17012,1008.9999999999995
2003-10-31,q_17084,315.23761207922496
2003-10-31,q_16924,104.00000000000006
2003-10-31,q_17461,114.99999999999999
2003-10-31,q_16936,301.24459070929123
2003-10-31,q_16938,52.172884834782714
2003-11-30,q_17012,911.9999999999997
2003-11-30,q_17084,284.2690679002321
2003-11-30,q_16924,98.00000000000007
2003-11-30,q_17461,89.70000000000002
2003-11-30,q_16936,251.54722001772345
2003-11-30,q_16938,86.21427188756641
2003-12-31,q_17012,869.0000000000002
2003-12-31,q_17084,259.0188997705951
2003-12-31,q_16924,84.0000000000001
2003-12-31,q_17461,64.50000000000003
2003-12-31,q_16936,220.4824672398185
2003-12-31,q_16938,89.22752867076164
2004-01-31,q_17012,887.4999999999997
2004-01-31,q_17084,195.7063893841607
2004-01-31,q_16924,78.00000000000007
2004-01-31,q_17461,55.899999999999984
2004-01-31,q_16936,203.9875363373765
2004-01-31,q_16938,59.162692388834
2004-02-29,q_17012,905.9999999999997
2004-02-29,q_17084,171.78757383936062
2004-02-29,q_16924,82.0000000000001
2004-02-29,q_17461,49.80000000000002
2004-02-29,q_16936,200.00000000000088
