date,name,value
2001-01-31,q_17012,-1.0962132312408133
2001-01-31,q_17084,-1.0667907852258516
2001-01-31,q_16924,-1.0057721976799707
2001-01-31,q_17461,-0.7207051687704329
2001-01-31,q_16936,-1.1714865703584225
2001-01-31,q_16938,-0.45263739399020525
2001-02-28,q_17012,-1.057490411143266
2001-02-28,q_17084,-1.1736758374605798
2001-02-28,q_16924,-1.0956832641782164
2001-02-28,q_17461,-0.7670245231262494
2001-02-28,q_16936,-1.2091016874070692
2001-02-28,q_16938,-0.38935313249476566
2001-03-31,q_17012,-0.8820967487870482
2001-03-31,q_17084,-0.9445606189073825
2001-03-31,q_16924,-0.4685945914360383
2001-03-31,q_17461,-0.7942651177498744
2001-03-31,q_16936,-0.9221667857771769
2001-03-31,q_16938,-0.6616692108396964
2001-04-30,q_17012,-0.8305646774620491
2001-04-30,q_17084,-0.12539256124807163
2001-04-30,q_16924,0.6340961085094089
2001-04-30,q_17461,-0.6886167810990993
2001-04-30,q_16936,-0.13630478774999472
2001-04-30,q_16938,0.15156286561063417
2001-05-31,q_17012,0.09283058809939182
2001-05-31,q_17084,0.7631309326296216
2001-05-31,q_16924,1.4504547655332594
2001-05-31,q_17461,0.48024100062177094
2001-05-31,q_16936,1.2172035757128137
2001-05-31,q_16938,1.3379465585721633
2001-06-30,q_17012,1.1581874579917477
2001-06-30,q_17084,1.4714031567818728
2001-06-30,q_16924,1.557218199978191
2001-06-30,q_17461,1.2570227549891924
2001-06-30,q_16936,1.4259947056271824
2001-06-30,q_16938,1.5956691565328245
2001-07-31,q_17012,1.1104881776777515
2001-07-31,q_17084,1.590878954088058
2001-07-31,q_16924,0.7654450118608992
2001-07-31,q_17461,1.1560870054235721
2001-07-31,q_16936,0.9500985103891676
2001-07-31,q_16938,0.21999415375115813
2001-08-31,q_17012,0.7471761779911593
2001-08-31,q_17084,1.2222638845474967
2001-08-31,q_16924,0.21781569192855768
2001-08-31,q_17461,0.6763821021362322
2001-08-31,q_16936,0.736272478205143
2001-08-31,q_16938,-0.2333521512640184
2001-09-30,q_17012,-0.12315034180026033
2001-09-30,q_17084,0.14139154032284612
2001-09-30,q_16924,-0.26382493719255
2001-09-30,q_17461,0.015097722912436683
2001-09-30,q_16936,0.08333751953998936
2001-09-30,q_16938,-0.49647106100199934
2001-10-31,q_17012,-1.3617608159382912
2001-10-31,q_17084,-0.4568951120984454
2001-10-31,q_16924,-0.4341075727793248
2001-10-31,q_17461,-0.5076660134648153
2001-10-31,q_16936,-0.33417284975703365
2001-10-31,q_16938,-0.3688773938556132
2001-11-30,q_17012,-1.7191997799026355
2001-11-30,q_17084,-0.7534462554066016
2001-11-30,q_16924,-0.4685945914360383
2001-11-30,q_17461,-0.6843984588415375
2001-11-30,q_16936,-0.6246304553640913
2001-11-30,q_16938,0.27243252987900707
2001-12-31,q_17012,-1.3538872884943705
2001-12-31,q_17084,-1.008304666488134
2001-12-31,q_16924,-0.8577376277643464
2001-12-31,q_17461,-0.8174169176752287
2001-12-31,q_16936,-0.9462472871659177
2001-12-31,q_16938,-0.2150177308831903
2002-01-31,q_17012,-1.2949380835194697
2002-01-31,q_17084,-1.2750757195922597
2002-01-31,q_16924,-0.9545874241974209
2002-01-31,q_17461,-1.2827604602096851
2002-01-31,q_16936,-1.020717700409031
2002-01-31,q_16938,-0.348696280401195
2002-02-28,q_17012,-1.2824420293360024
2002-02-28,q_17084,-1.3211006904232643
2002-02-28,q_16924,-1.0772116350272345
2002-02-28,q_17461,-1.0167181612483402
2002-02-28,q_16936,-1.1256654567762872
2002-02-28,q_16938,-0.5417189587227454
2002-03-31,q_17012,-0.7773603577893364
2002-03-31,q_17084,-0.7584829870020512
2002-03-31,q_16924,-0.3894643761297905
2002-03-31,q_17461,-0.7185407394350797
2002-03-31,q_16936,-0.9301538495787194
2002-03-31,q_16938,-0.5417189587227454
2002-04-30,q_17012,0.2169781965976421
2002-04-30,q_17084,0.20664913972211094
2002-04-30,q_16924,1.2040703247776827
2002-04-30,q_17461,0.05116375991141532
2002-04-30,q_16936,0.5096530961990084
2002-04-30,q_16938,1.9751638265707767
2002-05-31,q_17012,0.9420223191783679
2002-05-31,q_17084,0.9551804907588985
2002-05-31,q_16924,1.3404825710911723
2002-05-31,q_17461,0.6980208084667833
2002-05-31,q_16936,1.1142348569067118
2002-05-31,q_16938,2.1339779727295527
2002-06-30,q_17012,1.6025327282825552
2002-06-30,q_17084,1.5854339335516687
2002-06-30,q_16924,1.9113290063336068
2002-06-30,q_17461,1.8050656307839836
2002-06-30,q_16936,2.394600667262181
2002-06-30,q_16938,2.3574776782232396
2002-07-31,q_17012,1.679251709392904
2002-07-31,q_17084,1.758758645327139
2002-07-31,q_16924,1.765849621092092
2002-07-31,q_17461,2.0028487927804055
2002-07-31,q_16936,1.8982656016474146
2002-07-31,q_16938,1.4478943759320215
2002-08-31,q_17012,1.4705429163942962
2002-08-31,q_17084,1.563420804689088
2002-08-31,q_16924,1.0484242083882136
2002-08-31,q_17461,1.6785172974319842
2002-08-31,q_16936,1.319994013435138
2002-08-31,q_16938,0.2979343812752012
2002-09-30,q_17012,0.7741415534266142
2002-09-30,q_17084,0.5933525713607669
2002-09-30,q_16924,0.19672593509827277
2002-09-30,q_17461,0.8464273573447877
2002-09-30,q_16936,0.16265706648050013
2002-09-30,q_16938,-0.5417189587227454
2002-10-31,q_17012,-0.1631519135711762
2002-10-31,q_17084,-0.15453737506975965
2002-10-31,q_16924,-0.19563418389304027
2002-10-31,q_17461,0.14264978790889235
