q,month,year,q_lag_roll_6,q_lag_roll_12
778.0,5,2011,828.5,543.9166666666666
914.0,6,2011,587.1666666666666,589.1666666666666
744.0,7,2011,412.8333333333333,610.25
505.0,8,2011,293.0,628.25
372.0,9,2011,246.83333333333331,629.6666666666666
283.0,10,2011,267.1666666666667,626.0
252.0,11,2011,352.6666666666667,624.5833333333334
228.0,12,2011,465.8333333333333,624.5833333333334
190.0,1,2012,555.8333333333334,623.5833333333334
187.0,2,2012,604.3333333333334,624.4166666666666
178.0,3,2012,631.5,622.9166666666666
522.0,4,2012,599.3333333333334,619.75
563.0,5,2012,511.6666666666667,590.5833333333334
831.0,6,2012,397.3333333333333,526.5
628.0,7,2012,305.0,484.3333333333333
523.0,8,2012,252.0,448.6666666666667
346.0,9,2012,219.66666666666663,439.1666666666667
237.0,10,2012,259.5,433.25
225.0,11,2012,311.3333333333333,432.1666666666667
167.0,12,2012,411.8333333333333,431.5833333333333
154.0,1,2013,484.8333333333333,430.4166666666667
159.0,2,2013,540.8333333333334,428.1666666666667
187.0,3,2013,568.8333333333334,425.5833333333333
314.0,4,2013,521.3333333333334,429.4166666666667
445.0,5,2013,465.0,411.5
947.0,6,2013,354.3333333333333,404.5833333333333
672.0,7,2013,275.3333333333333,394.9166666666667
635.0,8,2013,214.66666666666663,396.4166666666667
344.0,9,2013,188.16666666666663,394.25
251.0,10,2013,201.0,390.4166666666667
200.0,11,2013,237.66666666666663,388.1666666666667
177.0,12,2013,367.6666666666667,383.0833333333333
157.0,1,2014,454.0,380.0833333333333
150.0,2,2014,533.3333333333334,377.75
165.0,3,2014,559.5,378.5
210.0,4,2014,549.0,361.1666666666667
617.0,5,2014,508.1666666666667,351.3333333333333
726.0,6,2014,379.8333333333333,361.0
561.0,7,2014,294.0,364.6666666666667
348.0,8,2014,213.16666666666663,374.0
265.0,9,2014,183.33333333333331,373.8333333333333
256.0,10,2014,176.5,375.0
190.0,11,2014,246.0,372.9166666666667
154.0,12,2014,337.5,373.75
205.0,1,2015,404.8333333333333,374.0
205.0,2,2015,437.8333333333333,373.25
220.0,3,2015,454.5,371.4166666666667
323.0,4,2015,462.1666666666667,362.75
783.0,5,2015,391.0,377.0833333333333
1005.0,6,2015,295.6666666666667,358.6666666666667
950.0,7,2015,236.33333333333331,349.4166666666667
619.0,8,2015,212.5,325.5
335.0,9,2015,205.0,318.9166666666667
276.0,10,2015,216.16666666666663,319.3333333333333
240.0,11,2015,315.0,318.5
220.0,12,2015,456.8333333333333,316.5833333333333
212.0,1,2016,581.0,320.5833333333333
210.0,2,2016,650.0,325.1666666666667
224.0,3,2016,669.1666666666666,329.75
287.0,4,2016,661.3333333333334,339.1666666666667
738.0,5,2016,570.8333333333334,353.0
1279.0,6,2016,440.0,376.25
1056.0,7,2016,317.0,408.6666666666667
666.0,8,2016,248.83333333333331,431.25
405.0,9,2016,230.33333333333331,437.0833333333333
420.0,10,2016,232.16666666666663,438.75
262.0,11,2016,315.1666666666667,442.9166666666667
234.0,12,2016,491.6666666666667,448.4166666666667
215.0,1,2017,632.3333333333334,449.0
210.0,2,2017,708.3333333333334,449.4166666666667
224.0,3,2017,738.5,449.75
459.0,4,2017,760.6666666666666,446.75
1180.0,5,2017,681.3333333333334,443.0
1343.0,6,2017,507.1666666666667,465.8333333333333
1090.0,7,2017,367.0,474.6666666666667
603.0,8,2017,291.0,478.5833333333333
373.0,9,2017,260.8333333333333,484.4166666666667
316.0,10,2017,267.3333333333333,496.4166666666667
244.0,11,2017,420.3333333333333,498.25
230.0,12,2017,605.1666666666666,499.4166666666667
218.0,1,2018,751.0,499.6666666666667
213.0,2,2018,816.5,499.6666666666667
223.0,3,2018,841.3333333333334,499.6666666666667
349.0,4,2018,817.5,514.0
608.0,5,2018,661.5,550.8333333333334
1033.0,6,2018,476.0,556.1666666666666
943.0,7,2018,330.6666666666667,559.0
548.0,8,2018,265.6666666666667,553.75
321.0,9,2018,240.66666666666663,551.0833333333334
229.0,10,2018,246.16666666666663,542.4166666666666
235.0,11,2018,306.8333333333333,540.9166666666666
192.0,12,2018,440.6666666666667,540.5833333333334
212.0,1,2019,561.5,540.8333333333334
208.0,2,2019,617.3333333333334,541.0833333333334
211.0,3,2019,633.6666666666666,541.0
318.0,4,2019,613.6666666666666,531.8333333333334
459.0,5,2019,551.5,484.1666666666667
854.0,6,2019,411.3333333333333,458.3333333333333
946.0,7,2019,289.5,446.0833333333333
617.0,8,2019,232.83333333333331,441.5
365.0,9,2019,214.5,437.1666666666667
281.0,10,2019,229.33333333333331,429.9166666666667
235.0,11,2019,266.6666666666667,429.1666666666667
217.0,12,2019,377.0,426.0
210.0,1,2020,499.3333333333333,425.5
209.0,2,2020,567.5,425.0833333333333
213.0,3,2020,593.1666666666666,424.0833333333333
360.0,4,2020,587.0,421.5
626.0,5,2020,549.6666666666666,409.0833333333333
649.0,6,2020,443.5,394.1666666666667
585.0,7,2020,320.8333333333333,394.4166666666667
697.0,8,2020,252.83333333333331,400.1666666666667
411.0,9,2020,227.5,403.8333333333333
238.0,10,2020,240.66666666666663,408.1666666666667
219.0,11,2020,305.8333333333333,408.1666666666667
211.0,12,2020,377.8333333333333,410.25
198.0,1,2021,440.3333333333333,410.0833333333333
197.0,2,2021,521.6666666666666,410.1666666666667
199.0,3,2021,554.6666666666666,410.3333333333333
286.0,4,2021,534.3333333333334,413.8333333333333
841.0,5,2021,466.5,427.75
749.0,6,2021,393.5,410.6666666666667
725.0,7,2021,329.0,380.5833333333333
501.0,8,2021,245.66666666666663,387.25
340.0,9,2021,210.33333333333331,391.0833333333333
211.0,10,2021,218.33333333333331,387.5
211.0,11,2021,322.0,386.1666666666667
204.0,12,2021,411.6666666666667,385.6666666666667
201.0,1,2022,499.5,384.6666666666667
202.0,2,2022,550.1666666666666,383.6666666666667
213.0,3,2022,573.6666666666666,382.5
551.0,4,2022,561.1666666666666,376.3333333333333
930.0,5,2022,456.1666666666667,394.25
998.0,6,2022,365.3333333333333,402.5833333333333
813.0,7,2022,278.0,414.25
556.0,8,2022,228.16666666666663,397.9166666666667
356.0,9,2022,207.0,392.0
240.0,10,2022,263.6666666666667,389.75
235.0,11,2022,383.5,389.0833333333333
219.0,12,2022,515.8333333333334,388.5
