iter	Passed	Remaining
486	657	692
487	659	691
488	660	690
489	662	689
490	663	687
491	664	686
492	665	684
493	666	683
494	668	681
495	669	680
496	670	678
497	672	677
498	673	675
499	674	674
500	675	672
501	676	671
502	680	672
503	686	675
504	687	673
505	706	689
506	708	689
507	710	687
508	711	686
509	714	686
510	717	686
511	720	687
512	723	687
513	725	685
514	726	684
515	728	683
516	730	682
517	731	680
518	732	679
519	733	677
520	734	675
521	736	674
522	737	672
523	738	671
524	740	669
525	741	668
526	742	666
527	744	665
528	746	664
529	748	663
530	750	662
531	753	662
532	755	662
533	758	662
534	761	661
535	763	660
536	764	659
537	765	657
538	767	656
539	769	655
540	771	654
541	773	653
542	774	652
543	776	651
544	778	650
545	780	648
546	781	647
547	783	646
548	784	644
549	786	643
550	787	641
551	788	639
552	789	638
553	790	636
554	791	634
555	793	633
556	794	631
557	795	630
558	797	628
559	798	627
560	799	625
561	801	624
562	802	622
563	803	621
564	805	619
565	806	618
566	807	616
567	808	615
568	810	613
569	811	612
570	813	611
571	815	609
572	816	608
573	817	606
574	819	605
575	820	604
576	821	602
577	823	600
578	824	599
579	825	598
580	827	596
581	828	594
582	829	593
583	831	592
584	832	590
585	833	589
586	835	587
587	836	585
588	837	584
589	838	582
590	840	581
591	841	580
592	842	578
593	843	576
594	845	575
595	846	573
596	848	572
597	849	571
598	851	569
599	852	568
600	853	566
601	855	565
602	856	563
603	857	562
604	859	560
605	860	559
606	861	557
607	863	556
608	864	555
609	865	553
610	867	552
611	868	550
612	870	549
613	871	547
614	872	546
615	873	544
616	875	543
617	876	541
618	877	540
619	879	538
620	880	537
621	881	535
622	883	534
623	884	533
624	886	531
625	887	530
626	888	528
627	890	527
628	891	525
629	892	524
630	893	522
631	896	521
632	897	520
633	899	519
634	901	518
635	903	516
636	904	515
637	906	514
638	907	512
639	909	511
640	910	510
641	913	509
642	914	507
643	917	507
644	919	506
645	921	504
646	923	503
647	924	502
648	926	501
649	928	500
650	930	498
651	932	497
652	934	496
653	936	495
654	938	494
655	939	492
656	940	491
657	942	489
658	943	488
659	944	486
660	946	485
661	947	483
662	949	482
663	950	481
664	951	479
665	953	478
666	954	476
667	956	475
668	957	473
669	958	472
670	960	470
671	961	469
672	962	467
673	964	466
674	965	464
675	966	463
676	967	461
677	969	460
678	970	458
679	971	457
680	972	455
681	974	454
682	975	452
683	976	451
684	978	449
685	979	448
686	980	446
687	982	445
688	983	444
689	985	442
690	986	441
691	988	439
692	989	438
693	991	437
694	992	435
695	994	434
696	995	432
697	997	431
698	998	429
699	999	428
700	1000	426
701	1002	425
702	1003	423
703	1005	422
704	1006	421
705	1007	419
706	1008	418
707	1010	416
708	1011	415
709	1012	413
710	1014	412
711	1015	410
712	1017	409
713	1018	407
714	1020	406
715	1021	405
716	1022	403
717	1024	402
718	1025	400
719	1026	399
720	1027	397
721	1029	396
722	1030	394
723	1032	393
724	1033	392
725	1034	390
726	1036	389
727	1037	387
728	1038	386
729	1040	384
730	1041	383
731	1043	381
732	1044	380
733	1046	379
734	1047	377
735	1048	376
736	1049	374
737	1050	373
738	1052	371
739	1053	370
740	1055	368
741	1056	367
742	1057	365
743	1058	364
744	1059	362
745	1061	361
746	1062	359
747	1063	358
748	1065	356
749	1066	355
750	1067	354
751	1069	352
752	1070	351
753	1071	349
754	1072	348
755	1074	346
756	1076	345
757	1077	344
758	1079	342
759	1081	341
760	1082	340
761	1084	338
762	1086	337
763	1087	336
764	1089	334
765	1091	333
766	1093	332
767	1094	330
768	1096	329
769	1097	327
770	1099	326
771	1100	325
772	1102	323
773	1103	322
774	1104	320
775	1106	319
776	1108	318
777	1111	317
778	1114	316
779	1116	314
780	1120	314
781	1125	313
782	1131	313
783	1133	312
784	1136	311
785	1139	310
786	1143	309
787	1155	310
788	1157	309
789	1161	308
790	1163	307
791	1166	306
792	1168	305
793	1170	303
794	1171	302
795	1172	300
796	1174	299
797	1175	297
798	1176	296
799	1178	294
800	1179	293
801	1181	291
802	1182	290
803	1183	288
804	1185	287
805	1186	285
806	1188	284
807	1190	282
808	1192	281
809	1198	281
810	1201	279
811	1203	278
812	1205	277
813	1207	275
814	1210	274
815	1212	273
816	1215	272
817	1217	270
818	1219	269
819	1226	269
820	1228	267
821	1229	266
822	1232	265
823	1233	263
824	1235	262
825	1236	260
826	1238	259
827	1240	257
828	1242	256
829	1243	254
830	1245	253
831	1245	251
832	1247	250
833	1249	248
834	1250	247
835	1252	245
836	1253	244
837	1256	242
838	1259	241
839	1260	240
840	1262	238
841	1264	237
842	1265	235
843	1266	234
844	1268	232
845	1269	231
846	1270	229
847	1271	227
848	1273	226
849	1274	224
850	1275	223
851	1277	221
852	1278	220
853	1279	218
854	1281	217
855	1282	215
856	1283	214
857	1285	212
858	1286	211
859	1287	209
860	1289	208
861	1290	206
862	1291	205
863	1294	203
864	1295	202
865	1297	200
866	1298	199
867	1299	197
868	1300	196
869	1301	194
870	1302	192
871	1303	191
872	1304	189
873	1306	188
874	1307	186
875	1308	185
876	1309	183
877	1310	182
878	1311	180
879	1312	1788880	1313	177
881	1315	175
882	1316	174
883	1317	172
884	1318	171
885	1319	169
886	1320	168
887	1322	166
888	1323	165
889	1324	163
890	1325	162
891	1327	160
892	1328	159
893	1329	157
894	1330	156
895	1331	154
896	1332	153
897	1334	151
898	1335	150
899	1336	148
900	1337	146
901	1338	145
902	1339	143
903	1341	1429904	1342	1409905	1343	1399906	1344	1379907	1345	1369908	1346	1349909	1347	1339910	1349	1319911	1350	1309912	1352	1289913	1353	1279914	1354	1259915	1355	124920	1351	115
9917	1358	1219918	1360	1199919	1361	1189920	1362	1169921	1363	1159922	1365	113
923	1366	112
924	1367	110
925	1368	109
926	1370	107
927	1371	106
928	1372	104
929	1373	103
930	1374	101
931	1376	100
932	1377	98
933	1378	97
934	1379	95
935	1380	94
936	1381	92
937	13942	13938	13943	13939	1385	88
940	13945	13941	1388	85
942	1389	83
943	1390	82
944	1392	81
945	1393	79
946	1394	78
947	1395	76
948	1396	75
949	1398	73
950	1399	72
951	1400	70
952	1401	69
953	1402	67
954	1404	66
955	1405	64
956	1406	63
957	1407	61
958	1408	60
959	14964	14960	14965	14961	14966	14962	14967	1407	46
968	1408	45
969	14965	14970	14966	14971	14967	14972	14968	14973	14969	14974	14970	14975	14971	14976	14972	14977	14973	14978	14974	14979	14975	14980	14976	14981	14977	1430	32
978	1431	30
979	14984	14980	14985	14981	14986	14982	14987	14983	14988	14984	14989	14985	14990	14986	1441	18
987	1443	17
988	1444	16
989	1445	14
990	1446	13
991	1447	11
992	1448	10
993	1449	8
994	1450	7
995	1451	5
996	1452	4
997	1453	2
998	1454	1
999	1455	0

