iter	RMSE
0	127.3396883
1	126.3608781
2	125.1704435
3	124.0567902
4	122.9138605
5	121.8604993
6	120.8942853
7	119.8817823
8	118.9677663
9	117.8924452
10	116.8523971
11	116.0023661
12	115.1340741
13	114.0997819
14	113.1939441
15	112.3555582
16	111.4255934
17	110.7116082
18	110.0311056
19	109.3274853
20	108.3748243
21	107.5726393
22	106.7948335
23	106.2110592
24	105.6097086
25	105.0690923
26	104.1024697
27	103.4294852
28	102.6916394
29	101.9694153
30	101.2736006
31	100.7218017
32	100.0446847
33	99.48221574
34	98.90184378
35	98.40374392
36	98.08366549
37	97.47856032
38	96.79500605
39	95.93419742
40	95.1894905
41	94.52607624
42	93.98481576
43	93.35606966
44	92.85058365
45	92.47268462
46	91.78521137
47	91.35412948
48	90.90184375
49	90.35017626
50	89.84964871
51	89.40067894
52	89.09324495
53	88.64180257
54	88.30597773
55	87.86072863
56	87.41743979
57	86.96394862
58	86.51482287
59	86.11564227
60	85.74870009
61	85.48046569
62	85.19882434
63	84.66581239
64	84.2648799
65	83.9433807
66	83.57707988
67	83.08963147
68	82.6420314
69	82.09710179
70	81.74250953
71	81.25252136
72	80.95179025
73	80.59838325
74	80.27105463
75	79.97353224
76	79.67858783
77	79.30961473
78	78.9409833
79	78.5237034
80	78.26494335
81	77.90665685
82	77.61887293
83	77.28085506
84	76.85344367
85	76.54761366
86	76.20261341
87	75.79391123
88	75.4466037
89	75.05298757
90	74.7975912
91	74.45666387
92	74.133825
93	73.78589464
94	73.3697818
95	73.05526185
96	72.63244991
97	72.38055696
98	72.10644159
99	71.75828767
100	71.49595107
101	71.19158588
102	70.89025507
103	70.62080866
104	70.41724748
105	70.28188085
106	69.94996915
107	69.76648606
108	69.53164656
109	69.18363742
110	68.82385276
111	68.5022547
112	68.35551489
113	67.94476423
114	67.55468941
115	67.30066271
116	66.93853297
117	66.65254033
118	66.38031943
119	66.07385328
120	65.83674985
121	65.57990752
122	65.40137782
123	65.10880373
124	64.71324291
125	64.43028835
126	64.17316051
127	63.92528644
128	63.73663244
129	63.38800474
130	63.07669681
131	62.94959656
132	62.67357056
133	62.36604104
134	62.08997548
135	61.99373009
136	61.75514984
137	61.51912382
138	61.28484299
139	60.92270204
140	60.62574768
141	60.3970753
142	60.25001598
143	60.032146
144	59.77185283
145	59.49218593
146	59.21863891
147	58.91468939
148	58.63215265
149	58.49622513
150	58.32779897
151	58.14584819
152	58.01482807
153	57.77907878
154	57.53174993
155	57.26973101
156	57.10415315
157	57.01201252
158	56.77903565
159	56.50779842
160	56.37462822
161	56.23254014
162	55.88688173
163	55.72518311
164	55.53368827
165	55.40931396
166	55.14901917
167	54.97695656
168	54.79300997
169	54.62220343
170	54.48678647
171	54.26370083
172	54.00190743
173	53.85511972
174	53.6997734
175	53.61476804
176	53.51308822
177	53.33052219
178	53.18716034
179	53.02048709
180	52.94038062
181	52.78719749
182	52.64390379
183	52.47788876
184	52.43959173
185	52.29013508
186	52.12802034
187	51.95436054
188	51.69211933
189	51.59379144
190	51.50140218
191	51.36637099
192	51.19546872
193	51.09268628
194	50.96566724
195	50.79245617
196	50.55998262
197	50.37825414
198	50.28305545
199	50.16407631
200	49.99588274
201	49.81778956
202	49.70686804
203	49.56314161
204	49.3671893
205	49.10750044
206	48.98794682
207	48.90335962
208	48.83952787
209	48.75285929
210	48.62534411
211	48.54226096
212	48.44143594
213	48.34540813
214	48.11032264
215	48.0192563
216	47.78540992
217	47.69907577
218	47.57803886
219	47.4604914
220	47.34718512
221	47.29359824
222	47.12290486
223	47.02186253
224	46.97244757
225	46.70743889
226	46.58190478
227	46.48556018
228	46.39525354
229	46.30457423
230	46.1097032
231	46.04821497
232	45.9860594
233	45.95032817
234	45.7996503
235	45.76518001
236	45.62761741
237	45.2500494
238	45.11241909
239	44.97244648
240	44.75636723
241	44.57127286
242	44.42266302
243	44.39297833
244	44.33300551
245	44.30694101
246	44.20231089
247	44.04693689
248	44.01882434
249	43.8055595
250	43.7780874
251	43.75177153
252	43.72509912
253	43.57028809
254	43.3588182
255	43.29686951
256	43.12248426
257	43.05790616
258	42.98616249
259	42.80378127
260	42.63857494
261	42.49451106
262	42.31884117
263	42.09501451
264	41.95803728
265	41.83351693
266	41.75147156
267	41.5912045
268	41.56728053
269	41.41472823
270	41.24399828
271	41.20063376
272	41.13055767
273	40.9962705
274	40.84432779
275	40.72166277
276	40.5480389
277	40.5237468
278	40.32057013
279	40.16735197
280	39.97508151
281	39.92929142
282	39.80038592
283	39.67052549
284	39.64909664
285	39.56169881
286	39.34526939
287	39.32494854
288	39.25254308
289	39.1771437
290	39.02680484
291	39.00502344
292	38.89484805
293	38.7730791
294	38.73056853
295	38.65795613
296	38.58025633
297	38.47061082
298	38.42535585
299	38.13432068
300	37.97627825
301	37.87822957
302	37.72867664
303	37.66326988
304	37.55243959
305	37.46423474
306	37.41982064
307	37.29766041
308	37.15125121
309	37.08753996
310	36.99899338
311	36.95767159
312	36.83532285
313	36.62950197
314	36.57814566
315	36.52017073
316	36.37626509
317	36.21390247
318	36.17458412
319	36.12081629
320	35.98735497
321	35.93552836
322	35.77565159
323	35.67396916
324	35.62888647
325	35.48972044
326	35.44006374
327	35.22825192
328	35.11144826
329	34.9105856
330	34.86343997
331	34.77633578
332	34.68719822
333	34.63578287
334	34.56254479
335	34.42163277
336	34.33939381
337	34.23535167
338	34.10936954
339	33.98289666
340	33.91651644
341	33.88075683
342	33.70058611
343	33.54476764
344	33.40811552
345	33.26259351
346	33.21409084
347	33.15794857
348	33.03592278
349	32.92675687
350	32.83751153
351	32.797401
352	32.66578376
353	32.47025926
354	32.34729669
355	32.2895575
356	32.24720566
357	32.19525496
358	32.15365276
359	32.1286725
360	32.00556773
361	31.97632682
362	31.89883726
363	31.86118281
364	31.69730675
365	31.65612084
366	31.54317065
367	31.37996541
368	31.19351319
369	31.06175942
370	31.02076137
371	30.98238684
372	30.87588807
373	30.83844651
374	30.66094732
375	30.62797075
376	30.54888858
377	30.50183769
378	30.4723026
379	30.38573341
380	30.2249155
381	30.13510373
382	30.00144302
383	29.88125896
384	29.74581618
385	29.71099526
386	29.56275224
387	29.41896886
388	29.32849294
389	29.16080896
390	28.95892977
391	28.78673472
392	28.65174097
393	28.5687655
394	28.53273026
395	28.51851601
396	28.4738104
397	28.43361316
398	28.3682209
399	28.27926706
400	28.18144306
401	28.11560873
402	27.95915167
403	27.89397041
404	27.76020564
405	27.68390569
406	27.66389362
407	27.56292194
408	27.55003562
409	27.45542774
410	27.43015132
411	27.29364343
412	27.21056093
413	27.03614767
414	27.02362482
415	26.98289125
416	26.97056793
417	26.87382277
418	26.70787103
419	26.57655252
420	26.55259939
421	26.45662885
422	26.3564529
423	26.24782233
424	26.08297712
425	25.94042654
426	25.82461154
427	25.74805271
428	25.67455997
429	25.60595813
430	25.47272906
431	25.40079312
432	25.34353958
433	25.31605265
434	25.2490047
435	25.1413468
436	25.12474953
437	25.0275672
438	24.95144652
439	24.84677282
440	24.76167259
441	24.69112606
442	24.61759836
443	24.48944191
444	24.34209554
445	24.32183015
446	24.22679693
447	24.11912197
448	24.04873216
449	24.00850198
450	23.87693699
451	23.79797937
452	23.75497274
453	23.67872241
