name,date,swe_month
V1,2001-01-01,1089976.625
V1,2001-02-01,1379882.9330357143
V1,2001-03-01,1453275.322580645
V1,2001-04-01,1211098.28125
V1,2001-05-01,537542.9102822582
V1,2001-06-01,42057.93180338541
V1,2001-07-01,3466.72709015877
V1,2001-08-01,1571.600810389365
V1,2001-09-01,4888.779320311546
V1,2001-10-01,98463.81515404485
V1,2001-11-01,342897.7010416667
V1,2001-12-01,906732.8548387096
V1,2002-01-01,1282894.002016129
V1,2002-02-01,1544937.6875
V1,2002-03-01,1550902.9637096773
V1,2002-04-01,1223251.3979166667
V1,2002-05-01,858071.5141129033
V1,2002-06-01,258982.001953125
V1,2002-07-01,16965.959551411288
V1,2002-08-01,4510.845419606855
V1,2002-09-01,580.888163904349
V1,2002-10-01,30830.659570509382
V1,2002-11-01,98562.259375
V1,2002-12-01,620289.234375
V1,2003-01-01,1026794.3024193549
V1,2003-02-01,1384525.2723214286
V1,2003-03-01,1972725.9314516129
V1,2003-04-01,1916861.3416666666
V1,2003-05-01,1287719.5927419355
V1,2003-06-01,370596.03958333336
V1,2003-07-01,27179.796449722784
V1,2003-08-01,5674.347545992943
V1,2003-09-01,2577.9781426509226
V1,2003-10-01,23077.98116966986
V1,2003-11-01,244015.80716145836
V1,2003-12-01,532575.3215725806
V1,2004-01-01,802194.0262096773
V1,2004-02-01,1193858.6293103448
V1,2004-03-01,1782258.4879032257
V1,2004-04-01,1626553.8708333331
V1,2004-05-01,931341.7842741937
V1,2004-06-01,285587.5388020833
V1,2004-07-01,18434.520539314515
V1,2004-08-01,5326.68115234375
V1,2004-09-01,505.78293730417903
V1,2004-10-01,31442.1436920166
V1,2004-11-01,163911.41354166664
V1,2004-12-01,510196.1794354838
V1,2005-01-01,881314.8004032258
V1,2005-02-01,1476054.6830357143
V1,2005-03-01,1383782.6209677418
V1,2005-04-01,1422014.8479166667
V1,2005-05-01,633474.3296370967
V1,2005-06-01,190340.3623046875
V1,2005-07-01,5306.819020917337
V1,2005-08-01,2323.119782478579
V1,2005-09-01,1449.1883990161125
V1,2005-10-01,19538.965202085426
V1,2005-11-01,112347.52903645832
V1,2005-12-01,462781.078125
V1,2006-01-01,937814.6189516127
V1,2006-02-01,1860642.8080357143
V1,2006-03-01,2083773.3508064516
V1,2006-04-01,1793012.8875
V1,2006-05-01,550815.7379032259
V1,2006-06-01,55579.80882161457
V1,2006-07-01,7160.662251134073
V1,2006-08-01,2387.698974609375
V1,2006-09-01,525.2323706150055
V1,2006-10-01,25072.808459866425
V1,2006-11-01,103602.13229166665
V1,2006-12-01,238746.2837701613
V1,2007-01-01,344969.52116935485
V1,2007-02-01,440246.6238839285
V1,2007-03-01,614186.1008064516
V1,2007-04-01,576770.4270833333
V1,2007-05-01,143726.0171370968
V1,2007-06-01,27101.710416666665
V1,2007-07-01,5164.678096648186
V1,2007-08-01,2510.3224900768646
V1,2007-09-01,316.21896216471976
V1,2007-10-01,17606.96123676915
V1,2007-11-01,74732.15195312498
V1,2007-12-01,453720.24193548376
V1,2008-01-01,933779.8407258064
V1,2008-02-01,1123544.7672413792
V1,2008-03-01,1292528.072580645
V1,2008-04-01,1141160.1229166666
V1,2008-05-01,448536.65650201624
V1,2008-06-01,14816.317203776045
V1,2008-07-01,1288.098200059706
V1,2008-08-01,7.615913268058528
V1,2008-09-01,379.0678059836229
V1,2008-10-01,31922.178297473547
V1,2008-11-01,248620.81236979165
V1,2008-12-01,436948.2227822581
V1,2009-01-01,1021735.5685483871
V1,2009-02-01,1264243.122767857
V1,2009-03-01,1593157.439516129
V1,2009-04-01,1160313.5125
V1,2009-05-01,1010648.9637096773
V1,2009-06-01,396517.1765625
V1,2009-07-01,54761.73680065523
V1,2009-08-01,7460.125236265121
V1,2009-09-01,2426.959828694661
V1,2009-10-01,10036.80910504249
V1,2009-11-01,190244.27233072917
V1,2009-12-01,521282.9183467741
V1,2010-01-01,1032837.5322580645
V1,2010-02-01,1951090.986607143
V1,2010-03-01,2491610.1370967743
V1,2010-04-01,2124098.1625
V1,2010-05-01,945812.4798387096
V1,2010-06-01,310789.4216145833
V1,2010-07-01,16971.683278729837
V1,2010-08-01,4299.416984311996
V1,2010-09-01,4709.987053181727
V1,2010-10-01,63556.25426852318
V1,2010-11-01,117178.54088541666
V1,2010-12-01,350922.8860887097
V1,2011-01-01,469204.27721774194
V1,2011-02-01,741317.3794642857
V1,2011-03-01,1056229.2842741935
V1,2011-04-01,879104.4666666666
V1,2011-05-01,256357.91834677418
V1,2011-06-01,82965.70436197918
V1,2011-07-01,6829.28125
V1,2011-08-01,2140.4769680884574
V1,2011-09-01,709.6598819414775
V1,2011-10-01,43786.83121022868
V1,2011-11-01,733379.6520833332
V1,2011-12-01,1368489.3669354839
V1,2012-01-01,1612946.7540322582
V1,2012-02-01,1864181.3577586208
V1,2012-03-01,2258007.959677419
V1,2012-04-01,1529125.5791666666
V1,2012-05-01,723102.9899193549
V1,2012-06-01,164022.54036458337
V1,2012-07-01,7209.099585748487
V1,2012-08-01,2069.934076124622
V1,2012-09-01,2005.7040405352902
V1,2012-10-01,46524.971427671364
V1,2012-11-01,274563.03203125
V1,2012-12-01,790883.1572580645
V1,2013-01-01,1279260.3629032257
V1,2013-02-01,1646508.7098214286
V1,2013-03-01,1710985.9516129033
V1,2013-04-01,974396.90625
V1,2013-05-01,578657.2832661291
V1,2013-06-01,172850.66080729166
V1,2013-07-01,16097.7097719254
V1,2013-08-01,3876.4499432963707
V1,2013-09-01,466.2211012283961
V1,2013-10-01,3728.217129553519
V1,2013-11-01,101074.29583333331
V1,2013-12-01,328827.7842741936
V1,2014-01-01,530570.3487903227
V1,2014-02-01,1376715.3660714286
V1,2014-03-01,1536936.939516129
V1,2014-04-01,1094799.36875
V1,2014-05-01,558723.9445564518
V1,2014-06-01,153038.73346354172
V1,2014-07-01,4734.637238533267
V1,2014-08-01,838.3435046903547
V1,2014-09-01,378.54922464688605
V1,2014-10-01,44463.9519200479
V1,2014-11-01,243735.28645833337
V1,2014-12-01,862581.5927419355
V1,2015-01-01,1202565.0786290322
V1,2015-02-01,1703525.1651785714
V1,2015-03-01,1919657.0967741935
V1,2015-04-01,1722331.6999999997
V1,2015-05-01,667294.0181451613
V1,2015-06-01,141374.802734375
V1,2015-07-01,6598.963335590979
V1,2015-08-01,103.70510291957085
V1,2015-09-01,4301.179698959988
V1,2015-10-01,49723.112777217735
V1,2015-11-01,350764.3338541666
V1,2015-12-01,817365.4516129033
V1,2016-01-01,1117855.7016129033
V1,2016-02-01,1318809.4913793104
V1,2016-03-01,1179800.8669354839
V1,2016-04-01,1002190.3520833333
V1,2016-05-01,481812.81754032255
V1,2016-06-01,121494.09824218751
V1,2016-07-01,5283.406273626513
V1,2016-08-01,1891.2151548324093
V1,2016-09-01,130.38250613212585
V1,2016-10-01,152340.92584819175
V1,2016-11-01,597412.7281250001
V1,2016-12-01,1442551.5766129033
V1,2017-01-01,2168741.334677419
V1,2017-02-01,2735954.6160714286
V1,2017-03-01,3064932.1370967743
V1,2017-04-01,2466130.3
V1,2017-05-01,1200580.0221774192
V1,2017-06-01,164810.37226562496
V1,2017-07-01,5555.780588457663
V1,2017-08-01,971.2357532132057
V1,2017-09-01,3926.2622244834884
V1,2017-10-01,93767.78956653226
V1,2017-11-01,156240.14453125
V1,2017-12-01,376840.43296370964
V1,2018-01-01,923204.4536290322
V1,2018-02-01,1419300.5892857143
V1,2018-03-01,1672762.435483871
V1,2018-04-01,1386033.8041666667
V1,2018-05-01,866371.3911290322
V1,2018-06-01,306554.14791666664
V1,2018-07-01,19307.811287172382
V1,2018-08-01,2077.49550702495
V1,2018-09-01,930.5761619123319
V1,2018-10-01,76865.90642522996
V1,2018-11-01,402858.5843749999
V1,2018-12-01,928751.4778225807
V1,2019-01-01,1371038.7137096773
V1,2019-02-01,1680184.9151785714
V1,2019-03-01,1549638.4032258065
V1,2019-04-01,940468.4208333333
V1,2019-05-01,664895.2127016129
V1,2019-06-01,198841.00156249997
V1,2019-07-01,13926.387770129793
V1,2019-08-01,175.13230784862276
V1,2019-09-01,3816.4267462412504
V1,2019-10-01,14332.780462449598
V1,2019-11-01,75541.03001302082
V1,2019-12-01,318754.7857862904
V1,2020-01-01,762958.0403225806
V1,2020-02-01,1012994.010775862
V1,2020-03-01,1093214.6169354839
V1,2020-04-01,786778.2416666667
V1,2020-05-01,288806.9921875
V1,2020-06-01,44663.68574218751
V1,2020-07-01,10438.752567414316
